"STATION","NAME","DATE","ACMH","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WSF1","WSF2","WSF5","WSFG","WSFM"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-01-23",,,,,"0.00",,"0.0","0.0",,"44","26",,,,,,"  315",,,,,"27.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-01-24",,,,,"0.00",,"0.0","0.0",,"27","20",,,,,,"  293",,,,,"29.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-01-25",,,,,"0.00",,"0.0","0.0",,"30","21",,,,,,"  293",,,,,"16.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-01-26",,,,,"0.00",,"0.0","0.0",,"33","24",,,,,,"  270",,,,,"25.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-01-27",,,,,"0.00",,"0.0","0.0",,"34","26",,,,,,"  315",,,,,"15.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-01-28",,,,,"0.00",,"0.0","0.0",,"39","29",,,,,,"  338",,,,,"15.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-01-29",,,,,"0.00",,"0.0","0.0",,"33","23",,,,,,"  315",,,,,"25.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-01-30",,,,,"0.00",,"0.0","0.0",,"32","20",,,,,,"  180",,,,,"34.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-01-31",,,,,"0.00",,"0.0","0.0",,"29","17",,,,,,"  338",,,,,"25.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-02-01",,,,,"0.00",,"0.0","0.0",,"26","14",,,,,,"  338",,,,,"25.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-02-02",,,,,"0.00",,"0.0","0.0",,"29","17",,,,,,"  315",,,,,"25.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-02-03",,,,,"0.00",,"0.0","0.0",,"31","17",,,,,,"  293",,,,,"30.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-02-04",,,,,"0.00",,"0.0","0.0",,"33","22",,,,,,"  315",,,,,"29.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-02-05",,,,,"0.00",,"0.0","0.0",,"35","19",,,,,,"  315",,,,,"25.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-02-06",,,,,"0.00",,"0.0","0.0",,"31","20",,,,,,"   45",,,,,"21.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-02-07",,,,,"0.00",,"0.0","0.0",,"35","29",,,,,,"   23",,,,,"19.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-02-08",,,,,"0.00",,"0.0","0.0",,"44","24",,,,,,"  293",,,,,"21.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-02-09",,,,,"0.00",,"0.0","0.0",,"36","23",,,,,,"  293",,,,,"16.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-02-10",,,,,"0.00",,"0.0","0.0",,"38","23",,,,,,"   45",,,,,"25.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-02-11",,,,,"0.00",,"0.0","0.0",,"39","24",,,,,,"  248",,,,,"17.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-02-12",,,,,"0.00",,"0.0","0.0",,"36","29",,,,,,"  315",,,,,"25.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-02-13",,,,,"0.00",,"0.0","0.0",,"40","25",,,,,,"  270",,,,,"16.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-02-14",,,,,"0.00",,"0.0","0.0",,"47","30",,,,,,"  293",,,,,"25.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-02-15",,,,,"0.00",,"0.0","0.0",,"38","30",,,,,,"  315",,,,,"19.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-02-16",,,,,"0.74",,"1.6","2.0",,"38","23",,,,,,"  315",,,,,"36.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-02-17",,,,,"0.00",,"0.0","0.0",,"29","20",,,,,,"  293",,,,,"28.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-02-18",,,,,"0.00",,"0.0","0.0",,"33","19",,,,,,"  293",,,,,"21.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-02-19",,,,,"0.00",,"0.0","0.0",,"46","28",,,,,,"  225",,,,,"21.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-02-20",,,,,"0.00",,"0.0","0.0",,"51","33",,,,,,"  248",,,,,"12.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-02-21",,,,,"0.00",,"0.0","0.0",,"57","41",,,,,,"  293",,,,,"19.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-02-22",,,,,"0.30",,"1.1","1.0",,"42","32",,,,,,"   45",,,,,"21.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-02-23",,,,,"0.00",,"0.0","0.0",,"50","36",,,,,,"  293",,,,,"16.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-02-24",,,,,"0.00",,"0.0","0.0",,"50","38",,,,,,"  293",,,,,"14.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-02-25",,,,,"0.00",,"0.0","0.0",,"43","35",,,,,,"  360",,,,,"21.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-02-26",,,,,"0.00",,"0.0","0.0",,"35","18",,,,,,"  293",,,,,"38.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-02-27",,,,,"0.00",,"0.0","0.0",,"36","18",,,,,,"  293",,,,,"30.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-02-28",,,,,"0.00",,"0.0","0.0",,"31","21",,,,,,"  293",,,,,"25.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-02-29",,,,,"0.00",,"0.0","0.0",,"21","12",,,,,,"  315",,,,,"32.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-03-01",,,,,"0.00",,"0.0","0.0",,"26","10",,,,,,"  315",,,,,"34.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-03-02",,,,,"0.00",,"0.0","0.0",,"28","14",,,,,,"   45",,,,,"28.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-03-03",,,,,"0.00",,"0.0","0.0",,"40","18",,,,,,"  360",,,,,"32.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-03-04",,,,,"0.00",,"0.0","0.0",,"53","30",,,,,,"  248",,,,,"23.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-03-05",,,,,"0.10",,"0.0","0.0",,"50","38",,,,,,"  203",,,,,"23.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-03-06",,,,,"0.00",,"0.0","0.0",,"48","33",,,,,,"  315",,,,,"32.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-03-07",,,,,"0.00",,"0.0","0.0",,"52","37",,,,,,"  203",,,,,"25.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-03-08",,,,,"0.48",,"0.0","0.0",,"58","44",,,,,,"  293",,,,,"32.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-03-09",,,,,"0.00",,"0.0","0.0",,"53","39",,,,,,"  293",,,,,"25.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-03-10",,,,,"0.56",,"0.0","0.0",,"53","38",,,,,,"  158",,,,,"27.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-03-11",,,,,"0.45",,"0.0","0.0",,"47","30",,,,,,"  315",,,,,"44.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-03-12",,,,,"0.00",,"0.0","0.0",,"36","23",,,,,,"  293",,,,,"38.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-03-13",,,,,"0.75",,"3.6","0.0",,"33","23",,,,,,"   45",,,,,"36.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-03-14",,,,,"0.52",,"1.0","2.0",,"39","31",,,,,,"  293",,,,,"36.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-03-15",,,,,"0.00",,"0.0","1.0",,"42","32",,,,,,"  293",,,,,"38.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-03-16",,,,,"0.00",,"0.0","0.0",,"48","25",,,,,,"  293",,,,,"25.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-03-17",,,,,"0.12",,"0.0","0.0",,"59","38",,,,,,"  158",,,,,"28.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-03-18",,,,,"0.39",,"0.0","0.0",,"59","38",,,,,,"  315",,,,,"42.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-03-19",,,,,"0.00",,"0.0","0.0",,"58","35",,,,,,"  293",,,,,"23.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-03-20",,,,,"0.00",,"0.0","0.0",,"58","43",,,,,,"  158",,,,,"14.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-03-21",,,,,"2.21",,"0.0","0.0",,"55","43",,,,,,"  135",,,,,"46.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-03-22",,,,,"1.04",,"0.0","0.0",,"43","36",,,,,,"  270",,,,,"32.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-03-23",,,,,"0.00",,"0.0","0.0",,"57","35",,,,,,"  293",,,,,"21.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-03-24",,,,,"0.42",,"0.0","0.0",,"54","38",,,,,,"  180",,,,,"19.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-03-25",,,,,"0.42",,"0.0","0.0",,"43","37",,,,,,"   45",,,,,"23.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-03-26",,,,,"0.00",,"0.0","0.0",,"47","38",,,,,,"  293",,,,,"21.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-03-27",,,,,"0.00",,"0.0","0.0",,"56","38",,,,,,"  360",,,,,"21.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-03-28",,,,,"0.00",,"0.0","0.0",,"54","40",,,,,,"  158",,,,,"14.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-03-29",,,,,"0.92",,"0.0","0.0",,"50","45",,,,,,"  113",,,,,"21.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-03-30",,,,,"0.01",,"0.0","0.0",,"56","46",,,,,,"   23",,,,,"19.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-03-31",,,,,"2.02",,"0.0","0.0",,"48","35",,,,,,"   45",,,,,"38.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-04-01",,,,,"0.01",,"0.0","0.0",,"58","36","  204",,,,,"   45",,,,,"23.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-04-02",,,,,"0.00",,"0.0","0.0",,"53","41"," 2220",,,,,"  270",,,,,"16.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-04-03",,,,,"0.00",,"0.0","0.0",,"67","45"," 1650",,,,,"  180",,,,,"25.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-04-04",,,,,"0.64",,"0.0","0.0",,"64","50","  522",,,,,"  113",,,,,"25.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-04-05",,,,,"0.00",,"0.0","0.0",,"60","44"," 1530",,,,,"  315",,,,,"36.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-04-06",,,,,"0.00",,"0.0","0.0",,"68","47"," 1710",,,,,"  158",,,,,"16.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-04-07",,,,,"0.00",,"0.0","0.0",,"62","45"," 1224",,,,,"  180",,,,,"25.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-04-08",,,,,"0.00",,"0.0","0.0",,"64","44"," 1446",,,,,"  135",,,,,"21.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-04-09",,,,,"3.42",,"0.0","0.0",,"57","55"," 1830",,,,,"  135",,,,,"32.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-04-10",,,,,"0.04",,"0.0","0.0",,"72","54"," 1812",,,,,"  270",,,,,"16.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-04-11",,,,,"0.00",,"0.0","0.0",,"69","52"," 1752",,,,,"  270",,,,,"17.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-04-12",,,,,"0.01",,"0.0","0.0",,"68","51"," 1758",,,,,"  180",,,,,"23.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-04-13",,,,,"0.00",,"0.0","0.0",,"70","54","  906",,,,,"  315",,,,,"21.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-04-14",,,,,"0.91",,"0.0","0.0",,"59","44"," 2232",,,,,"  135",,,,,"23.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-04-15",,,,,"0.01",,"0.0","0.0",,"65","49","  120",,,,,"  135",,,,,"25.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-04-16",,,,,"0.00",,"0.0","0.0",,"49","34",,,,,,"  270",,,,,"32.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-04-17",,,,,"0.00",,"0.0","0.0",,"60","32",,,,,,"  293",,,,,"17.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-04-18",,,,,"0.00",,"0.0","0.0",,"65","45",,,,,,"  315",,,,,"14.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-04-19",,,,,"0.00",,"0.0","0.0",,"68","49",,,,,,"  180",,,,,"21.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-04-20",,,,,"0.00",,"0.0","0.0",,"74","52",,,,,,"  180",,,,,"21.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-04-21",,,,,"0.00",,"0.0","0.0",,"76","56",,,,,,"  315",,,,,"23.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-04-22",,,,,"0.00",,"0.0","0.0",,"65","44",,,,,,"   23",,,,,"23.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-04-23",,,,,"0.00",,"0.0","0.0",,"73","40",,,,,,"  270",,,,,"16.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-04-24",,,,,"0.00",,"0.0","0.0",,"66","48",,,,,,"  113",,,,,"19.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-04-25",,,,,"0.03",,"0.0","0.0",,"61","47",,,,,,"   90",,,,,"16.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-04-26",,,,,"0.00",,"0.0","0.0",,"61","48",,,,,,"  248",,,,,"19.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-04-27",,,,,"0.33",,"0.0","0.0",,"52","47",,,,,,"   23",,,,,"21.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-04-28",,,,,"2.74",,"0.0","0.0",,"47","45",,,,,,"   68",,,,,"32.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-04-29",,,,,"0.11",,"0.0","0.0",,"49","45",,,,,,"   68",,,,,"25.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-04-30",,,,,"0.01",,"0.0","0.0",,"59","47",,,,,,"   23",,,,,"21.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-05-01",,,,,"0.00",,"0.0","0.0",,"69","50",,,,,,"   68",,,,,"21.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-05-02",,,,,"0.00",,"0.0","0.0",,"71","53",,,,,,"   23",,,,,"16.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-05-03",,,,,"0.01",,"0.0","0.0",,"81","51",,,,,,"  315",,,,,"21.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-05-04",,,,,"0.00",,"0.0","0.0",,"72","61",,,,,,"  293",,,,,"33.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-05-05",,,,,"0.00",,"0.0","0.0",,"90","57",,,,,,"  293",,,,,"21.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-05-06",,,,,"0.00",,"0.0","0.0",,"85","56",,,,,,"  135",,,,,"17.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-05-07",,,,,"0.26",,"0.0","0.0",,"67","54",,,,,,"   68",,,,,"19.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-05-08",,,,,"0.50",,"0.0","0.0",,"56","48",,,,,,"  270",,,,,"16.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-05-09",,,,,"0.00",,"0.0","0.0",,"61","47",,,,,,"  293",,,,,"16.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-05-10",,,,,"0.00",,"0.0","0.0",,"70","46",,,,,,"  135",,,,,"21.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-05-11",,,,,"0.05",,"0.0","0.0",,"64","55",,,,,,"  180",,,,,"21.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-05-12",,,,,"0.32",,"0.0","0.0",,"72","61",,,,,,"  203",,,,,"21.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-05-13",,,,,"0.21",,"0.0","0.0",,"80","64",,,,,,"  248",,,,,"21.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-05-14",,,,,"0.02",,"0.0","0.0",,"74","56",,,,,,"  315",,,,,"32.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-05-15",,,,,"0.00",,"0.0","0.0",,"69","51",,,,,,"  315",,,,,"27.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-05-16",,,,,"0.00",,"0.0","0.0",,"75","49",,,,,,"  338",,,,,"17.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-05-17",,,,,"0.00",,"0.0","0.0",,"77","54",,,,,,"  203",,,,,"19.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-05-18",,,,,"0.15",,"0.0","0.0",,"63","56",,,,,,"  180",,,,,"21.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-05-19",,,,,"0.00",,"0.0","0.0",,"80","61",,,,,,"  315",,,,,"15.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-05-20",,,,,"0.00",,"0.0","0.0",,"74","61",,,,,,"  135",,,,,"16.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-05-21",,,,,"0.72",,"0.0","0.0",,"62","56",,,,,,"   23",,,,,"21.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-05-22",,,,,"0.00",,"0.0","0.0",,"85","59",,,,,,"  270",,,,,"17.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-05-23",,,,,"0.00",,"0.0","0.0",,"90","69",,,,,,"  270",,,,,"15.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-05-24",,,,,"0.00",,"0.0","0.0",,"86","68",,,,,,"  180",,,,,"14.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-05-25",,,,,"0.00",,"0.0","0.0",,"84","62",,,,,,"  360",,,,,"25.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-05-26",,,,,"0.00",,"0.0","0.0",,"76","57",,,,,,"  293",,,,,"30.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-05-27",,,,,"0.00",,"0.0","0.0",,"76","54",,,,,,"  293",,,,,"25.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-05-28",,,,,"0.00",,"0.0","0.0",,"78","56",,,,,,"  315",,,,,"19.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-05-29",,,,,"0.00",,"0.0","0.0",,"77","61",,,,,,"  180",,,,,"14.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-05-30",,,,,"0.00",,"0.0","0.0",,"73","60",,,,,,"  158",,,,,"21.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-05-31",,,,,"0.09",,"0.0","0.0",,"76","63",,,,,,"  225",,,,,"31.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-06-01",,,,,"0.01",,"0.0","0.0",,"85","65",,,,,,"  270",,,,,"21.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-06-02",,,,,"0.06",,"0.0","0.0",,"83","67",,,,,,"  270",,,,,"19.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-06-03",,,,,"1.08",,"0.0","0.0",,"84","67",,,,,,"  270",,,,,"28.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-06-04",,,,,"0.00",,"0.0","0.0",,"75","63",,,,,,"  315",,,,,"23.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-06-05",,,,,"0.00",,"0.0","0.0",,"77","59",,,,,,"  360",,,,,"19.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-06-06",,,,,"0.01",,"0.0","0.0",,"78","59",,,,,,"  180",,,,,"21.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-06-07",,,,,"0.72",,"0.0","0.0",,"76","64",,,,,,"  360",,,,,"16.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-06-08",,,,,"0.59",,"0.0","0.0",,"80","52",,,,,,"  315",,,,,"34.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-06-09",,,,,"0.63",,"0.0","0.0",,"63","47",,,,,,"  248",,,,,"17.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-06-10",,,,,"0.01",,"0.0","0.0",,"66","53",,,,,,"  293",,,,,"17.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-06-11",,,,,"0.00",,"0.0","0.0",,"70","49",,,,,,"  315",,,,,"19.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-06-12",,,,,"0.00",,"0.0","0.0",,"74","52",,,,,,"  225",,,,,"19.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-06-13",,,,,"0.00",,"0.0","0.0",,"76","56",,,,,,"  180",,,,,"12.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-06-14",,,,,"0.00",,"0.0","0.0",,"83","56",,,,,,"   45",,,,,"14.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-06-15",,,,,"0.00",,"0.0","0.0",,"85","67",,,,,,"  315",,,,,"23.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-06-16",,,,,"0.00",,"0.0","0.0",,"75","64",,,,,,"   23",,,,,"17.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-06-17",,,,,"0.00",,"0.0","0.0",,"77","59",,,,,,"  203",,,,,"19.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-06-18",,,,,"0.00",,"0.0","0.0",,"74","58",,,,,,"  180",,,,,"19.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-06-19",,,,,"0.00",,"0.0","0.0",,"77","59",,,,,,"  158",,,,,"16.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-06-20",,,,,"0.00",,"0.0","0.0",,"73","60",,,,,,"  270",,,,,"32.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-06-21",,,,,"0.00",,"0.0","0.0",,"80","59",,,,,,"  315",,,,,"21.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-06-22",,,,,"0.00",,"0.0","0.0",,"86","63",,,,,,"  203",,,,,"15.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-06-23",,,,,"0.00",,"0.0","0.0",,"87","66",,,,,,"  135",,,,,"15.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-06-24",,,,,"0.00",,"0.0","0.0",,"89","69",,,,,,"  180",,,,,"16.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-06-25",,,,,"0.00",,"0.0","0.0",,"89","74",,,,,,"  203",,,,,"19.0"
